i,j,val
17,14,        0.0000000000
17,15,       -0.0000000000
17,16,       -0.0916666667
17,17,        1.1916666667
17,18,       -0.0916666667
17,19,        0.0000000000
17,20,        0.0000000000
17,21,        0.0000000000
18,1,       -0.0082530463
18,2,       -0.0101101468
18,3,       -0.0284579041
18,4,       -0.0027208819
18,5,        0.0003680575
18,6,       -0.0119181664
18,7,       -0.1318739615
18,8,       -0.3797957463
18,9,       -0.0000000000
18,10,        0.0000000000
18,11,        0.0000000000
18,12,        0.2903436437
18,13,        0.0000000000
18,14,        0.0000000000
18,15,        0.0000000000
18,16,       -0.0916666667
18,17,       -0.0916666667
18,18,        1.1916666667
18,19,        0.0000000000
18,20,        0.0000000000
18,21,        0.0000000000
19,1,        0.0000000000
19,2,        0.0062496491
19,3,       -0.0397995244
19,4,       -0.1172030562
19,5,       -0.1316434953
19,6,       -0.0093017478
19,7,        0.0000000000
19,8,        0.0000000000
19,9,        0.0000000000
19,10,       -0.0000000000
19,11,        0.0000000000
19,12,        0.0000000000
19,13,        0.0000000000
19,14,        0.0000000000
19,15,        0.0000000000
19,16,        0.0000000000
19,17,        0.0000000000
19,18,        0.0000000000
19,19,        1.9250000000
19,20,        0.0000000000
19,21,        0.0000000000
20,1,       -0.0004175423
20,2,       -0.0031248246
20,3,        0.0198997622
20,4,        0.0586015281
20,5,       -0.0093017478
20,6,       -0.1455961170
20,7,       -0.0000000000
20,8,        0.0000000000
20,9,       -0.0000000000
20,10,        0.0000000000
20,11,       -0.0000000000
20,12,        0.0000000000
20,13,       -0.0000000000
20,14,        0.0000000000
20,15,        0.0000000000
20,16,        0.0000000000
20,17,        0.0000000000
20,18,        0.0000000000
20,19,        0.0000000000
20,20,        1.9250000000
20,21,        0.0000000000
21,1,        0.0000000000
21,2,        0.0004226994
21,3,       -0.0026918689
21,4,       -0.0093017478
21,5,       -0.0089038007
21,6,        0.0196949923
21,7,        0.0000000000
21,8,        0.0000000000
21,9,        0.0000000000
21,10,       -0.0000000000
21,11,        0.0000000000
21,12,        0.0000000000
21,13,        0.0000000000
21,14,       -0.0000000000
21,15,        0.0000000000
21,16,        0.0000000000
21,17,        0.0000000000
21,18,        0.0000000000
21,19,        0.0000000000
21,20,        0.0000000000
21,21,        1.9250000000
