i,j,val
18,21,        0.0040374784
19,1,        0.0195984974
19,2,        0.3362325551
19,3,        0.7061538522
19,4,        1.0365361796
19,5,        2.2580832032
19,6,        0.0925332711
19,7,        0.0000079126
19,8,        0.0043321324
19,9,       -0.0097122867
19,10,        0.0576793941
19,11,       -0.0001618734
19,12,        0.0868525854
19,13,       -0.1362234848
19,14,        0.4786096116
19,15,       -0.0052039920
19,16,        0.1112009133
19,17,        0.0604045915
19,18,        0.0200559627
19,19,       -9.9252862772
19,20,        0.0083834258
19,21,       -0.0184092956
20,1,       -0.0331614013
20,2,       -0.1681750782
20,3,       -0.3542773444
20,4,       -0.5192424092
20,5,        0.0930421771
20,6,        2.3971927339
20,7,       -0.0000040340
20,8,       -0.0022086290
20,9,        0.0049971436
20,10,       -0.0001618734
20,11,        0.0574371272
20,12,       -0.0443160094
20,13,        0.0697670224
20,14,       -0.0052039920
20,15,        0.4708225373
20,16,       -0.0565220155
20,17,       -0.0106286118
20,18,       -0.0305842485
20,19,        0.0083834258
20,20,       -9.9127402975
20,21,        0.0347379463
21,1,        0.0011354255
21,2,        0.0227361422
21,3,        0.0476912967
21,4,        0.0922856622
21,5,        0.1524803456
21,6,       -0.3230371627
21,7,        0.0000005352
21,8,        0.0002930068
21,9,       -0.0001618734
21,10,        0.0038084958
21,11,       -0.0073299219
21,12,        0.0058743359
21,13,       -0.0052039920
21,14,        0.0315166733
21,15,       -0.0596339706
21,16,        0.0048401731
21,17,        0.0040855072
21,18,        0.0040374784
21,19,       -0.0184092956
21,20,        0.0347379463
21,21,       -9.6497503518
