I,J,i,j,val
        32,        32,1,         1,        2.0000000000
        19,        19,1,         1,        2.0000000000
        10,        10,1,         1,        2.0000000000
         4,         4,1,         1,        2.0000000000
        29,        29,1,         1,        2.0000000000
        16,        16,1,         1,        2.0000000000
         7,         7,1,         1,        2.0000000000
         2,         2,1,         1,        2.0000000000
         1,         1,1,         1,        2.0000000000
        44,        45,1,         2,        1.4142135624
        41,        42,1,         2,        1.4142135624
        27,        28,1,         2,        1.4142135624
        37,        38,1,         2,        1.4142135624
        24,        25,1,         2,        1.4142135624
        14,        15,1,         2,        1.4142135624
        33,        34,1,         2,        1.4142135624
        20,        21,1,         2,        1.4142135624
        11,        12,1,         2,        1.4142135624
         5,         6,1,         2,        1.4142135624
        30,        34,1,         6,       -1.0000000000
        17,        21,1,         6,       -1.0000000000
         8,        12,1,         6,       -1.0000000000
         3,         6,1,         6,       -1.4142135624
        30,        38,1,         5,       -1.0000000000
        17,        25,1,         5,       -1.0000000000
         8,        15,1,         5,       -1.4142135624
        30,        42,1,         4,       -1.0000000000
        17,        28,1,         4,       -1.4142135624
        30,        45,1,         3,       -1.4142135624
        17,        42,1,         3,       -1.0000000000
         8,        25,1,         4,       -1.0000000000
         8,        38,1,         3,       -1.0000000000
         3,        12,1,         5,       -1.0000000000
         3,        21,1,         4,       -1.0000000000
         3,        34,1,         3,       -1.0000000000
        43,        44,1,         2,        1.4142135624
        40,        41,1,         2,        1.4142135624
        26,        27,1,         2,        1.4142135624
        36,        37,1,         2,        1.4142135624
        23,        24,1,         2,        1.4142135624
        13,        14,1,         2,        1.4142135624
        32,        33,1,         2,        1.4142135624
        19,        20,1,         2,        1.4142135624
        10,        11,1,         2,        1.4142135624
         4,         5,1,         2,        1.4142135624
        29,        30,1,         2,        1.0000000000
        16,        17,1,         2,        1.0000000000
         7,         8,1,         2,        1.0000000000
         2,         3,1,         2,        1.0000000000
        29,        31,1,         6,        1.2247448714
        16,        18,1,         6,        1.2247448714
         7,         9,1,         6,        1.2247448714
        29,        35,1,         5,        1.2247448714
        16,        22,1,         5,        1.2247448714
        29,        39,1,         4,        1.2247448714
        16,        39,1,         3,       -1.2247448714
         7,        22,1,         4,       -1.2247448714
         7,        35,1,         3,       -1.2247448714
         2,         9,1,         5,       -1.2247448714
         2,        18,1,         4,       -1.2247448714
         2,        31,1,         3,       -1.2247448714
         1,         3,1,         6,       -1.4142135624
         1,         8,1,         5,       -1.4142135624
         1,        17,1,         4,       -1.4142135624
         1,        30,1,         3,       -1.4142135624
        29,        33,1,         6,       -0.7071067812
        16,        20,1,         6,       -0.7071067812
         7,        11,1,         6,       -0.7071067812
         2,         5,1,         6,       -1.0000000000
        29,        37,1,         5,       -0.7071067812
        16,        24,1,         5,       -0.7071067812
         7,        14,1,         5,       -1.0000000000
        29,        41,1,         4,       -0.7071067812
        16,        27,1,         4,       -1.0000000000
        29,        44,1,         3,       -1.0000000000
        16,        41,1,         3,       -0.7071067812
         7,        24,1,         4,       -0.7071067812
         7,        37,1,         3,       -0.7071067812
         2,        11,1,         5,       -0.7071067812
         2,        20,1,         4,       -0.7071067812
         2,        33,1,         3,       -0.7071067812
