i,j,val
31,45,       -0.0169246185
32,1,       -0.0423147823
32,2,       -0.0259321981
32,3,        0.0058240690
32,4,        0.0402778910
32,5,        0.0155082496
32,13,       -0.0183657070
32,26,       -0.0183657070
32,29,       -0.1413315138
32,30,       -0.0115194641
32,31,       -0.0069160986
32,32,       -6.9587331574
32,33,        0.0274853846
32,34,        0.0264484910
32,43,        0.1491895902
32,44,        0.0083192805
33,1,       -0.0123538970
33,2,        0.0115669823
33,3,       -0.0594278807
33,4,        0.0083192805
33,5,       -0.0318231997
33,6,        0.0155082496
33,14,       -0.0183657070
33,27,       -0.0183657070
33,29,       -0.0046843332
33,30,       -0.0332329054
33,31,        0.1113956802
33,32,        0.0274853846
33,33,       -5.0807707609
33,34,       -0.2052120910
33,43,        0.0155082496
33,44,        0.0770884995
33,45,        0.0083192805
34,1,        0.0094056125
34,2,       -0.0133821788
34,3,        0.1166748928
34,5,        0.0083192805
34,6,       -0.1039242904
34,15,       -0.0183657070
34,28,       -0.0183657070
34,29,       -0.0039801771
34,30,        0.0451857458
34,31,        0.0069160986
34,32,        0.0264484910
34,33,       -0.2052120910
34,34,       -1.9791238339
34,44,        0.0155082496
34,45,        0.0049874088
35,7,        0.0038211159
35,8,        0.0105707063
35,9,       -0.0073430707
35,10,       -0.0119675125
35,11,        0.0316721442
35,12,        0.0031628594
35,35,       -5.4635529780
35,36,       -0.0093314766
35,37,        0.0234207251
35,38,        0.0093314766
36,7,        0.0614725194
36,8,        0.0058240690
36,9,        0.0031628594
36,10,        0.0556235060
36,11,        0.0109659885
36,35,       -0.0093314766
36,36,       -7.1306913860
36,37,        0.0546826737
36,38,        0.0264484910
37,7,        0.0249288137
37,8,        0.0023765878
37,9,       -0.0316721442
37,10,        0.0058826197
37,11,        0.0046403359
37,12,        0.0109659885
37,35,        0.0234207251
37,36,        0.0546826737
37,37,       -5.3928877461
37,38,       -0.1780148020
38,7,       -0.0133821788
38,8,        0.1355713760
38,9,       -0.0119675125
38,11,        0.0058826197
38,12,       -0.0463428343
38,35,        0.0093314766
38,36,        0.0264484910
38,37,       -0.1780148020
38,38,       -2.4313995757
39,16,        0.0038211159
39,17,        0.0105707063
39,18,       -0.0073430707
39,19,       -0.0119675125
39,20,        0.0316721442
39,21,        0.0031628594
39,39,       -5.4635529780
39,40,       -0.0093314766
39,41,        0.0234207251
39,42,        0.0093314766
40,16,        0.0614725194
40,17,        0.0058240690
40,18,        0.0031628594
40,19,        0.0556235060
40,20,        0.0109659885
40,39,       -0.0093314766
40,40,       -7.1306913860
40,41,        0.0546826737
40,42,        0.0264484910
41,16,        0.0249288137
41,17,        0.0023765878
41,18,       -0.0316721442
41,19,        0.0058826197
41,20,        0.0046403359
41,21,        0.0109659885
41,39,        0.0234207251
41,40,        0.0546826737
41,41,       -5.3928877461
41,42,       -0.1780148020
42,16,       -0.0133821788
42,17,        0.1355713760
42,18,       -0.0119675125
42,20,        0.0058826197
42,21,       -0.0463428343
42,39,        0.0093314766
42,40,        0.0264484910
42,41,       -0.1780148020
42,42,       -2.4313995757
43,1,        0.0097569231
43,2,        0.0077042997
43,4,        0.0267665065
43,13,        0.0420218569
43,26,        0.0420218569
43,29,        0.0579601839
43,30,        0.0082364774
43,31,        0.0044729587
43,32,        0.1491895902
43,33,        0.0155082496
43,43,       -7.1068659077
43,44,        0.0627753351
43,45,        0.0264484910
44,1,        0.0007040705
44,2,        0.0049916409
44,3,        0.0054477626
44,5,        0.0267665065
44,14,        0.0420218569
44,27,        0.0420218569
44,29,        0.0325147814
44,30,       -0.0171274777
44,31,       -0.0447911758
44,32,        0.0083192805
44,33,        0.0770884995
44,34,        0.0155082496
44,43,        0.0627753351
44,44,       -5.4080473541
44,45,       -0.1699221406
45,1,        0.0201669814
45,3,        0.0070592463
45,6,        0.0267665065
45,15,        0.0420218569
45,28,        0.0420218569
45,29,       -0.0189252588
45,30,        0.1878520960
45,31,       -0.0169246185
45,33,        0.0083192805
45,34,        0.0049874088
45,43,        0.0264484910
45,44,       -0.1699221406
45,45,       -2.4855442701
