I,J,i,j,val
        28,        37,4,         9,       -1.2247448714
        26,        36,4,         9,       -1.0606601718
        30,        36,4,         9,        0.6123724357
        25,        35,4,         9,       -1.1547005384
        24,        34,4,         9,       -1.2247448714
        30,        35,4,         9,       -0.3535533906
        26,        35,4,         9,       -0.2041241452
        22,        32,4,         9,       -0.7071067812
        20,        31,4,         9,       -0.6123724357
        20,        27,4,         9,       -0.3535533906
        19,        29,4,         9,       -0.7071067812
        21,        27,4,         9,        0.6123724357
        21,        31,4,         9,       -0.3535533906
        32,        37,4,         9,       -0.7071067812
        31,        35,4,         9,       -0.6123724357
        27,        35,4,         9,       -0.3535533906
        29,        34,4,         9,       -0.7071067812
        27,        36,4,         9,        0.6123724357
        31,        36,4,         9,       -0.3535533906
        22,        28,4,         9,       -1.2247448714
        21,        26,4,         9,       -1.0606601718
        21,        30,4,         9,        0.6123724357
        20,        25,4,         9,       -1.1547005384
        19,        24,4,         9,       -1.2247448714
        20,        30,4,         9,       -0.3535533906
        20,        26,4,         9,       -0.2041241452
        46,        46,4,         4,        1.0000000000
         9,         9,4,         4,        1.0000000000
         8,         8,4,         4,        1.0000000000
         7,         7,4,         4,        1.0000000000
         6,         6,4,         4,        1.0000000000
        38,        38,4,         4,        2.0000000000
        11,        11,4,         4,        2.0000000000
         3,         3,4,         4,        2.0000000000
         2,         2,4,         4,        2.0000000000
         1,         1,4,         4,        2.0000000000
        46,        51,4,         9,        1.4142135624
         9,        16,4,         9,       -1.4142135624
         7,        14,4,         9,       -1.2247448714
         6,        12,4,         9,       -1.4142135624
         8,        14,4,         9,       -0.7071067812
        38,        46,4,         9,        1.4142135624
         3,         9,4,         9,       -1.4142135624
         2,         7,4,         9,       -1.2247448714
         1,         6,4,         9,       -1.4142135624
         2,         8,4,         9,       -0.7071067812
        37,        37,6,         6,        1.0000000000
        36,        36,6,         6,        1.0000000000
        35,        35,6,         6,        1.0000000000
        34,        34,6,         6,        1.0000000000
        23,        23,6,         6,        1.0000000000
        32,        32,6,         6,        1.0000000000
        31,        31,6,         6,        1.0000000000
        27,        27,6,         6,        1.0000000000
        29,        29,6,         6,        1.0000000000
        28,        28,6,         6,        1.0000000000
        30,        30,6,         6,        1.0000000000
        26,        26,6,         6,        1.0000000000
        25,        25,6,         6,        1.0000000000
        24,        24,6,         6,        1.0000000000
        33,        33,6,         6,        1.0000000000
        22,        22,6,         6,        1.0000000000
        21,        21,6,         6,        1.0000000000
        20,        20,6,         6,        1.0000000000
        19,        19,6,         6,        1.0000000000
        51,        51,6,         6,        2.0000000000
        43,        43,6,         6,        2.0000000000
        16,        16,6,         6,        2.0000000000
        41,        41,6,         6,        2.0000000000
        14,        14,6,         6,        2.0000000000
        39,        39,6,         6,        2.0000000000
        12,        12,6,         6,        2.0000000000
         4,         4,6,         6,        2.0000000000
        46,        46,6,         6,        2.0000000000
         9,         9,6,         6,        2.0000000000
         8,         8,6,         6,        2.0000000000
         7,         7,6,         6,        2.0000000000
         6,         6,6,         6,        2.0000000000
        38,        38,6,         6,        2.0000000000
        11,        11,6,         6,        2.0000000000
         3,         3,6,         6,        2.0000000000
         2,         2,6,         6,        2.0000000000
         1,         1,6,         6,        2.0000000000
        37,        55,6,         7,        1.4142135624
        35,        54,6,         7,        1.2247448714
        34,        53,6,         7,        1.4142135624
        23,        45,6,         7,        1.4142135624
        36,        54,6,         7,        0.7071067812
        28,        50,6,         7,        1.2247448714
        26,        49,6,         7,        1.0606601718
        30,        49,6,         7,        0.6123724357
        25,        48,6,         7,        1.1547005384
        24,        47,6,         7,        1.2247448714
        30,        48,6,         7,       -0.3535533906
        26,        48,6,         7,        0.2041241452
        33,        52,6,         7,        1.4142135624
        22,        44,6,         7,        1.4142135624
        20,        42,6,         7,        1.2247448714
        19,        40,6,         7,        1.4142135624
        21,        42,6,         7,        0.7071067812
        32,        50,6,         7,        0.7071067812
        31,        48,6,         7,        0.6123724357
        27,        48,6,         7,       -0.3535533906
        29,        47,6,         7,        0.7071067812
        27,        49,6,         7,        0.6123724357
        31,        49,6,         7,        0.3535533906
        16,        37,6,         7,        1.4142135624
        14,        35,6,         7,        1.2247448714
        12,        34,6,         7,        1.4142135624
         4,        23,6,         7,        1.4142135624
        14,        36,6,         7,        0.7071067812
         9,        28,6,         7,        1.2247448714
         8,        26,6,         7,        1.0606601718
         8,        30,6,         7,        0.6123724357
         7,        25,6,         7,        1.1547005384
         6,        24,6,         7,        1.2247448714
         7,        30,6,         7,       -0.3535533906
         7,        26,6,         7,        0.2041241452
        11,        33,6,         7,        1.4142135624
         3,        22,6,         7,        1.4142135624
         2,        20,6,         7,        1.2247448714
         1,        19,6,         7,        1.4142135624
         2,        21,6,         7,        0.7071067812
         9,        32,6,         7,        0.7071067812
         7,        31,6,         7,        0.6123724357
         7,        27,6,         7,       -0.3535533906
         6,        29,6,         7,        0.7071067812
         8,        27,6,         7,        0.6123724357
         8,        31,6,         7,        0.3535533906
